PRODUCT_ID,DEPARTMENT,dunn_name,dunn_ingredients,nut_name,nut_ingredients,cholesterol,energy,fatty acids total monounsaturated,fatty acids total polyunsaturated,fatty acids total saturated,fiber,protein,sodium,sugars,total lipid,vitamin a,vitamin b-12,vitamin b-6,vitamin e,vitamin k
59658,PRODUCE,CITRUS ORANGES NAVELS ALL,"['orang', 'navel']","Orange, raw",['orang'],0.0,47.0,0.023,0.025,0.015,2.4,0.94,0.0,9.35,0.12,11.0,0.0,0.06,0.0,0.0
82934,PRODUCE,CITRUS ORANGES NON NAVEL ALL,"['orang', 'non', 'navel']","Orange, raw",['orang'],0.0,47.0,0.023,0.025,0.015,2.4,0.94,0.0,9.35,0.12,11.0,0.0,0.06,0.0,0.0
77244,PRODUCE,CITRUS TANGERINES & TANGELOS,"['tangerin', 'tangelo']","Tangelo, raw",['tangelo'],0.0,47.0,0.023,0.025,0.015,2.4,0.94,0.0,9.35,0.12,11.0,0.0,0.06,0.0,0.0
79154,GROCERY,COCOA MIXES HOT CHOCOLATE COCOA MIX,"['hot', 'chocol', 'cocoa']","Hot chocolate / Cocoa, dry mix, not reconstituted","['hot', 'chocol', 'cocoa', 'reconstitut']",0.0,398.0,1.325,0.114,2.377,3.7,6.67,504.0,65.55,4.0,1.0,0.35,0.114,0.0,0.9
12604481,GROCERY,SYRUPS/TOPPINGS HOT CHOCOLATE COCOA MIX,"['hot', 'chocol', 'cocoa']","Hot chocolate / Cocoa, dry mix, not reconstituted","['hot', 'chocol', 'cocoa', 'reconstitut']",0.0,398.0,1.325,0.114,2.377,3.7,6.67,504.0,65.55,4.0,1.0,0.35,0.114,0.0,0.9
44426,GROCERY,COCOA MIXES MALTED MLK/SYRUP/PWDRS (EGGNOG,"['malt', 'mlk', 'syrup', 'pwdr', 'eggnog']","Syrup, NFS","['syrup', 'nf']",0.0,265.0,0.032,0.05,0.018000000000000002,0.0,0.0,61.0,42.0,0.1,0.0,0.0,0.0,0.0,0.0
831263,GROCERY,COCOA MIXES SOY BEVERAGE,"['soy', 'beverag']",Soy sauce,"['soy', 'sauc']",0.0,53.0,0.08800000000000001,0.263,0.073,0.8,8.14,5493.0,0.4,0.57,0.0,0.0,0.14800000000000002,0.0,0.0
43868,GROCERY,HISPANIC ORIENTAL SOY SAUCE,"['orient', 'soy', 'sauc']",Soy sauce,"['soy', 'sauc']",0.0,53.0,0.08800000000000001,0.263,0.073,0.8,8.14,5493.0,0.4,0.57,0.0,0.0,0.14800000000000002,0.0,0.0
30339,NUTRITION,NON-DAIRY BEVERAGES SOY BEVERAGE,"['soy', 'beverag']",Soy sauce,"['soy', 'sauc']",0.0,53.0,0.08800000000000001,0.263,0.073,0.8,8.14,5493.0,0.4,0.57,0.0,0.0,0.14800000000000002,0.0,0.0
862525,GROCERY,COFFEE DECAF BEAN: FLAVORED,"['decaf', 'bean', 'flavor']",Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
856619,GROCERY,COFFEE DECAF BEAN: REGULAR,"['decaf', 'bean', 'regular']",Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
720137,GROCERY,COFFEE REGULAR BEAN,"['regular', 'bean']",Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
15715898,NUTRITION,DRY TEA/COFFEE/COCO MIX REGULAR BEAN,"['regular', 'bean']",Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
123052,PRODUCE,VEGETABLES - ALL OTHERS BEANS,['bean'],Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
64527,GROCERY,VEGETABLES - SHELF STABLE BEANS WAX SHELLIES,"['bean', 'wax', 'shelli']",Beans and franks,"['bean', 'frank']",6.0,142.0,2.83,0.836,2.352,6.9,6.75,430.0,6.53,6.57,4.0,0.34,0.046,0.0,1.0
785103,GROCERY,COFFEE FLAVORED BEAN COFFEE,"['flavor', 'bean', 'coffe']","Espresso coffee beans, chocolate-covered","['espresso', 'coffe', 'bean', 'chocol', 'cover']",20.0,549.0,13.735,1.31,18.137999999999998,5.7,7.41,70.0,50.75,33.18,51.0,0.65,0.031,0.0,5.4
844938,NUTRITION,DRY TEA/COFFEE/COCO MIX COFFEE WHOLE BEAN,"['coffe', 'bean']","Espresso coffee beans, chocolate-covered","['espresso', 'coffe', 'bean', 'chocol', 'cover']",20.0,549.0,13.735,1.31,18.137999999999998,5.7,7.41,70.0,50.75,33.18,51.0,0.65,0.031,0.0,5.4
551614,GROCERY,COFFEE GROUND DECAFFINATED,"['ground', 'decaffin']","Turkey, ground","['turkey', 'ground']",92.0,201.0,3.429,2.8930000000000002,2.647,0.0,27.14,400.0,0.0,10.31,24.0,1.33,0.628,0.0,0.0
72328,MEAT,TURKEY GROUND TURKEY,"['ground', 'turkey']","Turkey, ground","['turkey', 'ground']",92.0,201.0,3.429,2.8930000000000002,2.647,0.0,27.14,400.0,0.0,10.31,24.0,1.33,0.628,0.0,0.0
81946,GROCERY,COFFEE INSTANT COFFEE FLAVORED NO SWE,"['instant', 'coffe', 'flavor', 'swe']","Coffee, brewed, flavored","['coffe', 'brew', 'flavor']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
830880,GROCERY,COFFEE INSTANT COFFEE FLAVORED W/SWEE,"['instant', 'coffe', 'flavor', 'swee']","Coffee, brewed, flavored","['coffe', 'brew', 'flavor']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
12263125,GROCERY,MOLASSES/SYRUP/PANCAKE MIXS INSTANT COFFEE FLAVORED NO SWE,"['instant', 'coffe', 'flavor', 'swe']","Coffee, brewed, flavored","['coffe', 'brew', 'flavor']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
7024847,GROCERY,SOFT DRINKS INSTANT COFFEE FLAVORED NO SWE,"['instant', 'coffe', 'flavor', 'swe']","Coffee, brewed, flavored","['coffe', 'brew', 'flavor']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
34480,GROCERY,COFFEE INSTANT COFFEE REGULAR,"['instant', 'coffe', 'regular']","Coffee, NS as to brewed or instant","['coffe', 'brew', 'instant']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
27323,GROCERY,COFFEE INSTANT DECAF FLVR COFFEE W/ S,"['instant', 'decaf', 'flvr', 'coffe']","Coffee, NS as to brewed or instant","['coffe', 'brew', 'instant']",0.0,1.0,0.015,0.001,0.002,0.0,0.12,2.0,0.0,0.02,0.0,0.0,0.001,0.0,0.1
826282,GROCERY,COFFEE INSTANT DECAFFINATED,"['instant', 'decaffin']","Instant soup, noodle","['instant', 'soup', 'noodl']",5.0,25.0,0.152,0.094,0.132,0.2,1.03,248.0,0.13,0.44,1.0,0.05,0.016,0.0,0.0
5582087,GROCERY,COFFEE INSTANT TEA & TEA MIX,"['instant', 'tea']","Tea, iced, instant, black, unsweetened","['tea', 'ice', 'instant', 'black', 'unsweeten']",0.0,1.0,0.0,0.0,0.0,0.0,0.02,4.0,0.01,0.0,0.0,0.0,0.001,0.0,0.0
826961,GROCERY,TEAS INSTANT TEA & TEA MIX,"['instant', 'tea']","Tea, iced, instant, black, unsweetened","['tea', 'ice', 'instant', 'black', 'unsweeten']",0.0,1.0,0.0,0.0,0.0,0.0,0.02,4.0,0.01,0.0,0.0,0.0,0.001,0.0,0.0
931675,GROCERY,COFFEE MOLASSES & SYRUPS,"['molass', 'syrup']",Molasses,['molass'],0.0,290.0,0.032,0.05,0.018000000000000002,0.0,0.0,37.0,74.72,0.1,0.0,0.0,0.67,0.0,0.0
35910,GROCERY,MOLASSES/SYRUP/PANCAKE MIXS MOLASSES & SYRUPS,"['molass', 'syrup']",Molasses,['molass'],0.0,290.0,0.032,0.05,0.018000000000000002,0.0,0.0,37.0,74.72,0.1,0.0,0.0,0.67,0.0,0.0
6761185,RESTAURANT,COFFEE SHOP CARBONATED WATER - UNFLAVORED,"['carbon', 'water', 'unflavor']","Carbonated water, unsweetened","['carbon', 'water', 'unsweeten']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883428,GROCERY,SOFT DRINKS CARBONATED WATER - UNFLAVORED,"['carbon', 'water', 'unflavor']","Carbonated water, unsweetened","['carbon', 'water', 'unsweeten']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548206,GROCERY,WATER - CARBONATED/FLVRD DRINK CARBONATED WATER - UNFLAVORED,"['carbon', 'water', 'unflavor']","Carbonated water, unsweetened","['carbon', 'water', 'unsweeten']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
833671,RESTAURANT,COFFEE SHOP SWEET GOODS&RETAIL COFF SHOP: DANISH TAKE OUT,"['coff', 'shop', 'danish', 'take']",Danish dessert pudding,"['danish', 'dessert', 'pud']",0.0,146.0,0.002,0.006999999999999999,0.004,0.3,0.07,46.0,26.57,0.02,0.0,0.0,0.006999999999999999,0.0,0.1
17968538,GROCERY,COLD CEREAL SEASONAL CANDY BAGS-CHOCOLATE,"['season', 'candi', 'bag', 'chocol']",M&M's Peanut Chocolate Candies,"['peanut', 'chocol', 'candi']",8.0,515.0,8.086,3.4560000000000004,10.169,3.7,9.57,50.0,50.75,26.13,22.0,0.32,0.09,0.0,3.0
17972400,GROCERY,CONVENIENT BRKFST/WHLSM SNACKS SEASONAL CANDY BAGS-CHOCOLATE,"['season', 'candi', 'bag', 'chocol']",M&M's Peanut Chocolate Candies,"['peanut', 'chocol', 'candi']",8.0,515.0,8.086,3.4560000000000004,10.169,3.7,9.57,50.0,50.75,26.13,22.0,0.32,0.09,0.0,3.0
17972927,GROCERY,DINNER MXS:DRY SEASONAL CANDY BAGS-CHOCOLATE,"['season', 'candi', 'bag', 'chocol']",M&M's Peanut Chocolate Candies,"['peanut', 'chocol', 'candi']",8.0,515.0,8.086,3.4560000000000004,10.169,3.7,9.57,50.0,50.75,26.13,22.0,0.32,0.09,0.0,3.0
